Time,Speed_des,Speed,Duty_Cycle,Position
26.48,1.0,1.04,3.33,-3.53
26.58,1.0,1.03,3.33,-3.51
26.68,1.0,1.05,3.33,-3.51
26.78,1.0,1.03,3.33,-3.51
26.88,1.0,1.03,3.33,-3.51
26.98,1.0,1.03,3.33,-3.53
27.08,1.0,1.02,3.33,-3.51
27.17,1.0,1.03,3.33,-3.51
27.27,1.0,1.01,3.33,-3.48
27.37,1.0,1.03,3.33,-3.51
27.47,1.0,1.01,3.33,-3.51
27.57,1.0,1.03,3.33,-3.53
27.67,1.0,1.01,3.33,-3.53
27.77,1.0,1.02,3.33,-3.56
27.86,1.0,1.05,3.33,-3.56
27.96,1.0,1.03,3.33,-3.53
28.06,1.0,1.03,3.33,-3.53
28.16,1.0,1.03,3.33,-3.56
28.26,1.0,1.04,3.33,-3.56
28.36,1.0,1.03,3.33,-3.56
28.46,1.0,1.06,3.33,-3.58
28.55,1.0,1.05,3.33,-3.56
28.65,1.0,1.16,3.33,-3.58
28.75,1.0,1.2,3.33,-3.56
28.85,1.0,1.17,3.33,-3.58
28.95,1.0,1.21,3.33,-3.56
29.05,1.0,1.2,3.33,-3.58
29.15,1.0,1.23,3.33,-3.56
29.25,1.0,1.23,3.33,-3.58
29.34,1.0,1.22,3.33,-3.56
29.44,1.0,1.2,3.33,-3.58
29.54,1.0,1.23,3.33,-3.58
29.64,1.0,1.12,3.33,-3.56
29.74,1.0,1.07,3.33,-3.58
29.84,1.0,1.13,3.33,-3.56
29.94,1.0,1.11,3.33,-3.58
30.03,1.0,1.13,3.33,-3.56
30.13,1.0,1.08,3.33,-3.56
30.23,1.0,1.08,3.33,-3.58
30.33,1.0,1.09,3.33,-3.58
30.43,1.0,1.08,3.33,-3.56
30.53,1.0,1.05,3.33,-3.58
30.63,1.0,1.05,3.33,-3.58
30.72,1.0,1.04,3.33,-3.56
30.82,1.0,1.0,3.33,-3.58
30.92,1.0,0.99,3.33,-3.56
31.02,1.0,0.97,3.33,-3.56
31.12,1.0,0.99,3.33,-3.58
31.22,1.0,0.98,3.33,-3.56
31.32,1.0,0.98,3.33,-3.58
31.42,1.0,1.0,3.33,-3.58
31.51,1.0,0.99,3.33,-3.56
31.61,1.0,0.99,3.33,-3.58
31.71,1.0,1.0,3.33,-3.58
31.81,1.0,0.99,3.33,-3.58
31.91,1.0,0.99,3.33,-3.58
32.01,1.0,1.0,3.33,-3.56
32.11,1.0,0.99,3.33,-3.56
32.21,1.0,0.99,3.33,-3.58
32.3,1.0,0.99,3.33,-3.58
32.4,1.0,0.98,3.33,-3.56
32.5,1.0,0.99,3.33,-3.58
32.6,1.0,0.99,3.33,-3.58
32.7,1.0,0.99,3.33,-3.56
32.8,1.0,0.99,3.33,-3.58
32.89,1.0,0.99,3.33,-3.56
32.99,1.0,0.99,3.33,-3.58
33.09,1.0,1.0,3.33,-3.58
33.19,1.0,1.01,3.33,-3.56
33.29,1.0,1.0,3.33,-3.58
33.39,1.0,1.01,3.33,-3.56
33.49,1.0,1.02,3.33,-3.58
33.59,1.0,1.02,3.33,-3.56
33.68,1.0,1.02,3.33,-3.56
33.78,1.0,1.02,3.33,-3.56
33.88,1.0,1.02,3.33,-3.56
33.98,1.0,1.02,3.33,-3.56
34.08,1.0,1.02,3.33,-3.58
34.18,1.0,1.01,3.33,-3.56
34.28,1.0,1.01,3.33,-3.58
34.37,1.0,1.02,3.33,-3.56
34.47,1.0,1.01,3.33,-3.58
34.57,1.0,1.02,3.33,-3.58
34.67,1.0,1.02,3.33,-3.56
34.77,1.0,1.02,3.33,-3.58
34.87,1.0,1.02,3.33,-3.56
34.97,1.0,1.03,3.33,-3.56
35.06,1.0,1.03,3.33,-3.56
35.16,1.0,1.04,3.33,-3.56
35.26,1.0,1.05,3.33,-3.58
35.36,1.0,1.04,3.33,-3.56
35.46,1.0,1.06,3.33,-3.56
35.56,1.0,1.04,3.33,-3.56
35.66,1.0,1.05,3.33,-3.56
35.75,1.0,1.06,3.33,-3.58
35.85,1.0,1.05,3.33,-3.58
35.95,1.0,1.03,3.33,-3.56
36.05,1.0,1.04,3.33,-3.58
36.15,1.0,1.03,3.33,-3.58
36.25,1.0,1.02,3.33,-3.58
36.35,1.0,1.02,3.33,-3.56
36.45,1.0,1.01,3.33,-3.56
36.54,1.0,1.02,3.33,-3.56
36.64,1.0,1.02,3.33,-3.58
36.74,1.0,1.0,3.33,-3.56
36.84,1.0,1.0,3.33,-3.58
36.94,1.0,1.02,3.33,-3.58
37.04,1.0,1.01,3.33,-3.56
37.13,1.0,1.03,3.33,-3.58
37.23,1.0,1.02,3.33,-3.56
37.33,1.0,1.03,3.33,-3.58
37.43,1.0,1.03,3.33,-3.56
37.53,1.0,1.03,3.33,-3.58
37.63,1.0,1.0,3.33,-3.58
37.73,1.0,1.01,3.33,-3.56
37.83,1.0,1.01,3.33,-3.56
37.93,1.0,1.0,3.33,-3.58
38.02,1.0,0.99,3.33,-3.56
38.12,1.0,0.98,3.33,-3.56
38.22,1.0,1.0,3.33,-3.56
38.32,1.0,0.98,3.33,-3.58
38.42,1.0,0.98,3.33,-3.56
38.52,1.0,1.01,3.33,-3.56
38.62,1.0,1.0,3.33,-3.58
38.71,1.0,1.02,3.33,-3.56
38.81,1.0,1.02,3.33,-3.58
38.91,1.0,1.04,3.33,-3.56
39.01,1.0,1.05,3.33,-3.56
39.11,1.0,1.05,3.33,-3.56
39.21,1.0,1.05,3.33,-3.53
39.3,1.0,1.05,3.33,-3.56
39.4,1.0,1.06,3.33,-3.56
39.5,1.0,1.03,3.33,-3.58
39.6,1.0,1.04,3.33,-3.58
39.7,1.0,1.02,3.33,-3.56
39.8,1.0,1.02,3.33,-3.58
39.9,1.0,1.01,3.33,-3.58
39.99,1.0,1.0,3.33,-3.58
40.09,1.0,1.01,3.33,-3.58
40.19,1.0,0.99,3.33,-3.56
40.29,1.0,1.0,3.33,-3.56
40.39,1.0,1.0,3.33,-3.58
40.49,1.0,1.0,3.33,-3.56
40.59,1.0,1.01,3.33,-3.58
40.69,1.0,1.0,3.33,-3.56
40.78,1.0,1.01,3.33,-3.56
40.88,1.0,1.01,3.33,-3.56
40.98,1.0,1.02,3.33,-3.56
41.08,1.0,1.02,3.33,-3.56
41.18,1.0,1.29,3.33,-3.56
41.28,1.0,1.29,3.33,-3.53
41.38,1.0,1.29,3.33,-3.56
41.47,1.0,1.3,3.33,-3.53
41.57,1.0,1.61,3.33,-3.56
41.67,1.0,1.61,3.33,-3.56
41.77,1.0,1.6,3.33,-3.53
